,0
code,1059922
team_h,1
team_h_score,
team_a,15
team_a_score,
event,23
finished,False
minutes,0
provisional_start_time,False
kickoff_time,2020-01-18T15:00:00Z
event_name,Gameweek 23
is_home,True
difficulty,3
element,1
code,1059922
team_h,1
team_h_score,
team_a,15
team_a_score,
event,23
finished,False
minutes,0
provisional_start_time,False
kickoff_time,2020-01-18T15:00:00Z
event_name,Gameweek 23
is_home,True
difficulty,3
element,2
code,1059922
team_h,1
team_h_score,
team_a,15
team_a_score,
event,23
finished,False
minutes,0
provisional_start_time,False
kickoff_time,2020-01-18T15:00:00Z
event_name,Gameweek 23
is_home,True
difficulty,3
element,3
code,1059922
team_h,1
team_h_score,
team_a,15
team_a_score,
event,23
finished,False
minutes,0
provisional_start_time,False
kickoff_time,2020-01-18T15:00:00Z
event_name,Gameweek 23
is_home,True
difficulty,3
element,4
code,1059922
team_h,1
team_h_score,
team_a,15
team_a_score,
event,23
finished,False
minutes,0
provisional_start_time,False
kickoff_time,2020-01-18T15:00:00Z
event_name,Gameweek 23
is_home,True
difficulty,3
element,5
